Simulation Time (s),X_eci,Y_eci,Z_eci,Vx ECI Velocity (m/s),Vy ECI Velocity (m/s),Vz ECI Velocity (m/s)
60.6,1450579.432,6140243.873,937613.0277,66.9678875,-187.1054576,-37.50654432
60.7,1450585.982,6140225.033,937609.2662,65.50047362,-188.404613,-37.61500083
60.8,1450592.388,6140206.064,937605.4939,64.06034721,-189.6888193,-37.72302739
60.9,1450598.652,6140186.968,937601.7108,62.64510977,-190.9594547,-37.83067287
61,1450604.777,6140167.746,937597.917,61.25248504,-192.2178722,-37.93799141
61.1,1450610.765,6140148.4,937594.1125,59.88033845,-193.4654186,-38.04504719
61.2,1450616.618,6140128.929,937590.2973,58.52666759,-194.7034286,-38.15191273
61.3,1450622.337,6140109.336,937586.4714,57.18959432,-195.9332251,-38.25866826
61.4,1450627.924,6140089.62,937582.6349,55.86735633,-197.1561171,-38.36540077
61.5,1450633.38,6140069.783,937578.7877,54.55829866,-198.3733982,-38.47220299
61.6,1450638.706,6140049.824,937574.9298,53.26086612,-199.5863461,-38.57917279
61.7,1450643.903,6140029.745,937571.0611,51.97359575,-200.7962216,-38.68641235
61.8,1450648.973,6140009.544,937567.1817,50.69511042,-202.0042701,-38.79402798
61.9,1450653.915,6139989.223,937563.2915,49.42411263,-203.211722,-38.90212964
62,1450658.731,6139968.781,937559.3904,48.15937908,-204.4197947,-39.01083091
62.1,1450663.421,6139948.218,937555.4784,46.89975524,-205.6296924,-39.12024847
62.2,1450667.985,6139927.534,937551.5554,45.64415048,-206.8426056,-39.2305017
62.3,1450672.424,6139906.728,937547.6212,44.39153415,-208.0597132,-39.34171269
62.4,1450676.739,6139885.8,937543.6758,43.14093186,-209.2821844,-39.45400626
62.5,1450680.928,6139864.749,937539.719,41.89142099,-210.5111779,-39.56750953
62.6,1450684.992,6139843.574,937535.7508,40.64212632,-211.7478487,-39.68235266
62.7,1450688.931,6139822.275,937531.7709,39.39221067,-212.9933507,-39.79866866
62.8,1450692.745,6139800.85,937527.7793,38.1408585,-214.2488637,-39.91659668
62.9,1450696.434,6139779.298,937523.7756,36.88722956,-215.5156522,-40.03628853
63,1450699.997,6139757.619,937519.7598,35.63030235,-216.7952915,-40.1579353
63.1,1450703.434,6139735.809,937515.7316,34.36754915,-218.0915529,-40.28198806
63.2,1450706.744,6139713.869,937511.6908,33.09868758,-219.4051517,-40.40854784
63.3,1450709.926,6139691.796,937507.6371,31.82816273,-220.7299514,-40.53690684
63.4,1450712.982,6139669.59,937503.5704,30.55758391,-222.0637108,-40.66680545
63.5,1450715.911,6139647.249,937499.4906,29.28843317,-223.4042771,-40.79798925
63.6,1450718.713,6139624.774,937495.3976,28.02245629,-224.7490022,-40.93013925
63.7,1450721.389,6139602.165,937491.2913,26.76192315,-226.0943134,-41.06281834
63.8,1450723.94,6139579.421,937487.1718,25.50990703,-227.4352374,-41.19541128
63.9,1450726.367,6139556.545,937483.0391,24.2706453,-228.7647632,-41.32704322
64,1450728.672,6139533.538,937478.8934,23.0500455,-230.0729274,-41.45646198
64.1,1450730.858,6139510.403,937474.7352,21.85643068,-231.345477,-41.58186615
64.2,1450732.928,6139487.147,937470.5652,20.70166888,-232.5618226,-41.70064131
64.3,1450734.889,6139463.778,937466.3843,19.6029408,-233.6918626,-41.8089518
64.4,1450736.745,6139440.304,937462.1937,18.56111828,-234.7319479,-41.90623741
64.5,1450738.502,6139416.736,937457.9944,17.57511995,-235.6818528,-41.99237419
64.6,1450740.167,6139393.082,937453.7877,16.64394667,-236.5414266,-42.06725761
64.7,1450741.752,6139369.346,937449.5731,15.85392809,-237.35954,-42.1460977
64.7,1450743.272,6139345.533,937445.3502,15.20402194,-238.134998,-42.2286066
64.8,1450744.766,6139321.698,937441.1259,14.93766497,-238.3435559,-42.24359626
64.9,1450746.233,6139297.843,937436.9001,14.67198413,-238.5492118,-42.25813906
