time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,tgo,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,gyro_p,gyro_q,gyro_r,roll_rate_rps,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,proximity_flag,main_cycles,t1_cycles,t2_cycles,t3_cycles
0.24,1439734.807000,6144012.717000,939115.278400,289.636434,-64.172272,-33.835085,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.083650,0.000000,0.000000,10.995004,1,0,0,0,0,0,0,0,0,25,0,0,0
0.25,1439737.702000,6144012.075000,939114.940100,289.582001,-64.181297,-33.832360,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.080981,0.000000,0.000000,10.994580,1,0,0,0,0,0,0,0,0,26,0,0,0
0.26,1439740.598000,6144011.433000,939114.601800,289.527632,-64.190403,-33.829653,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.078202,0.000000,0.000000,10.994137,1,0,0,0,0,0,0,0,0,27,0,0,0
0.27,1439743.492000,6144010.791000,939114.263500,289.473329,-64.199590,-33.826966,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.075315,0.000000,0.000000,10.993678,1,0,0,0,0,0,0,0,0,28,0,0,0
0.28,1439746.387000,6144010.149000,939113.925300,289.419090,-64.208860,-33.824297,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.072319,0.000000,0.000000,10.993201,1,0,0,0,0,0,0,0,0,29,0,0,0
0.29,1439749.280000,6144009.507000,939113.587000,289.364916,-64.218211,-33.821648,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.069214,0.000000,0.000000,10.992707,1,0,0,0,0,0,0,0,0,30,0,0,0
0.30,1439752.173000,6144008.864000,939113.248900,289.310807,-64.227644,-33.819019,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.066000,0.000000,0.000000,10.992195,1,0,0,0,0,0,0,0,0,31,0,0,0
0.31,1439755.066000,6144008.222000,939112.910700,289.256764,-64.237158,-33.816408,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.062677,0.000000,0.000000,10.991666,1,0,0,0,0,0,0,0,0,32,0,0,0
0.32,1439757.958000,6144007.580000,939112.572600,289.202787,-64.246754,-33.813816,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.059245,0.000000,0.000000,10.991120,1,0,0,0,0,0,0,0,0,33,0,0,0
0.33,1439760.849000,6144006.937000,939112.234400,289.148876,-64.256431,-33.811244,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.055705,0.000000,0.000000,10.990557,1,0,0,0,0,0,0,0,0,34,0,0,0
0.34,1439763.740000,6144006.294000,939111.896400,289.095032,-64.266189,-33.808691,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.052056,0.000000,0.000000,10.989976,1,0,0,0,0,0,0,0,0,35,0,0,0
0.35,1439766.631000,6144005.652000,939111.558300,289.041254,-64.276029,-33.806157,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.048298,0.000000,0.000000,10.989378,1,0,0,0,0,0,0,0,0,36,0,0,0
