time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,tgo,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,accel_x,accel_y,accel_z,gyro_p,gyro_q,gyro_r,roll_rate_rps,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,proximity_flag,main_cycles,t1_cycles,t2_cycles,t3_cycles
0.28,1439746.387,6144010.149,939113.9253,289.41909,-64.20886,-33.824297,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-81.109602,-140.096592,0,69.072319,0,0,10.993201,1,0,0,0,0,0,0,0,0,29,0,0,0
0.29,1439749.28,6144009.507,939113.587,289.364916,-64.218211,-33.821648,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-81.00582,-139.920336,0,69.069214,0,0,10.992707,1,0,0,0,0,0,0,0,0,30,0,0,0
0.3,1439752.173,6144008.864,939113.2489,289.310807,-64.227644,-33.819019,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-80.902263,-139.74446,0,69.066,0,0,10.992195,1,0,0,0,0,0,0,0,0,31,0,0,0
0.31,1439755.066,6144008.222,939112.9107,289.256764,-64.237158,-33.816408,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-80.79894,-139.568955,0,69.062677,0,0,10.991666,1,0,0,0,0,0,0,0,0,32,0,0,0
0.32,1439757.958,6144007.58,939112.5726,289.202787,-64.246754,-33.813816,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-80.695842,-139.39383,0,69.059245,0,0,10.99112,1,0,0,0,0,0,0,0,0,33,0,0,0
0.33,1439760.849,6144006.937,939112.2344,289.148876,-64.256431,-33.811244,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-80.592972,-139.219076,0,69.055705,0,0,10.990557,1,0,0,0,0,0,0,0,0,34,0,0,0
0.34,1439763.74,6144006.294,939111.8964,289.095032,-64.266189,-33.808691,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-80.490331,-139.044696,0,69.052056,0,0,10.989976,1,0,0,0,0,0,0,0,0,35,0,0,0
0.35,1439766.631,6144005.652,939111.5583,289.041254,-64.276029,-33.806157,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-80.387916,-138.870687,0,69.048298,0,0,10.989378,1,0,0,0,0,0,0,0,0,36,0,0,0
0.36,1439769.521,6144005.009,939111.2203,288.987544,-64.285949,-33.803643,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-80.285724,-138.697048,0,69.044432,0,0,10.988763,1,0,0,0,0,0,0,0,0,37,0,0,0
0.37,1439772.41,6144004.366,939110.8822,288.9339,-64.29595,-33.801148,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-80.183759,-138.523781,0,69.040456,0,0,10.98813,1,0,0,0,0,0,0,0,0,38,0,0,0
0.38,1439775.299,6144003.723,939110.5443,288.880324,-64.306032,-33.798671,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-80.082017,-138.35088,0,69.036372,0,0,10.98748,1,0,0,0,0,0,0,0,0,39,0,0,0
0.39,1439778.187,6144003.08,939110.2063,288.826816,-64.316195,-33.796215,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-79.980501,-138.178351,0,69.032179,0,0,10.986813,1,0,0,0,0,0,0,0,0,40,0,0,0
0.4,1439781.075,6144002.436,939109.8684,288.773375,-64.326438,-33.793777,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-79.879209,-138.006185,0,69.027878,0,0,10.986128,1,0,0,0,0,0,0,0,0,41,0,0,0
0.41,1439783.962,6144001.793,939109.5304,288.720003,-64.336762,-33.791359,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-79.778136,-137.834384,0,69.023468,0,0,10.985426,1,0,0,0,0,0,0,0,0,42,0,0,0
0.42,1439786.849,6144001.15,939109.1926,288.666699,-64.347167,-33.788959,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-79.677286,-137.662951,0,69.018949,0,0,10.984707,1,0,0,0,0,0,0,0,0,43,0,0,0
0.43,1439789.735,6144000.506,939108.8547,288.613464,-64.357652,-33.78658,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-79.576659,-137.491878,0,69.014322,0,0,10.98397,1,0,0,0,0,0,0,0,0,44,0,0,0
0.44,1439792.62,6143999.862,939108.5168,288.560298,-64.368217,-33.784219,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-79.476249,-137.321169,0,69.009586,0,0,10.983217,1,0,0,0,0,0,0,0,0,45,0,0,0
