missiontime,ecef_Pos_X,ecef_Pos_Y,ecef_Pos_Z,ecef_Vel_X,ecef_Vel_Y,ecef_Vel_Z,gps_week,gps_tow,Acc_X,Acc_Y,Acc_Z,Gyro_p, Gyro_q, Gyro_r, Roll, Pitch, Yaw, rollRPS,bmx,bmy,bmz,deltaVx,deltaVy,deltaVz,deltaThetaX,deltaThetaY,deltaThetaZ
0.2,-1187931.423,-6195239.3,939813.9151,-486.585615,-94.246531,631.594649,2384,388837,-18.179052,-35.102086,0.000001,69.09324,0,0,0,0.436332,0,10.996531,381.008386,57.340358,135.257722,-0.181791,-0.351021,0,0.690932,0,0
0.21,-1187931.423,-6195239.3,939813.9151,-486.585615,-94.246531,631.594649,2384,388837,-18.163448,-35.068547,0.000001,69.091006,0,0,0,0.436332,0,10.996175,381.00817,-42.003986,140.776085,-0.181634,-0.350685,0,0.69091,0,0
0.22,-1187931.423,-6195239.3,939813.9151,-486.585615,-94.246531,631.594649,2384,388837,-18.147865,-35.035056,0.000001,69.088663,0,0,0,0.436332,0,10.995802,381.007955,-122.078108,81.72423,-0.181479,-0.350351,0,0.690887,0,0
0.23,-1187931.423,-6195239.3,939813.9151,-486.585615,-94.246531,631.594649,2384,388837,-18.132306,-35.001612,0.000001,69.086211,0,0,0,0.436332,0,10.995412,381.007741,-146.15859,-14.80723,-0.181323,-0.350016,0,0.690862,0,0
0.24,-1187931.423,-6195239.3,939813.9151,-486.585615,-94.246531,631.594649,2384,388837,-18.116769,-34.968215,0.000001,69.08365,0,0,0,0.436332,0,10.995004,381.007526,-103.208022,-104.543604,-0.181168,-0.349682,0,0.690837,0,0
0.25,-1187931.423,-6195239.3,939813.9151,-486.585615,-94.246531,631.594649,2384,388837,-18.101255,-34.934866,0.000001,69.080981,0,0,0,0.436332,0,10.99458,381.007312,-12.930403,-146.334341,-0.181013,-0.349349,0,0.69081,0,0
0.26,-1187931.423,-6195239.3,939813.9151,-486.585615,-94.246531,631.594649,2384,388837,-18.085764,-34.901563,0.000001,69.078202,0,0,0,0.436332,0,10.994137,381.007098,83.272113,-121.022162,-0.180858,-0.349016,0,0.690782,0,0
0.27,-1187931.423,-6195239.3,939813.9151,-486.585615,-94.246531,631.594649,2384,388837,-18.070295,-34.868307,0.000001,69.075315,0,0,0,0.436332,0,10.993678,381.006885,141.288816,-40.221302,-0.180703,-0.348683,0,0.690753,0,0
0.28,-1187931.423,-6195239.3,939813.9151,-486.585615,-94.246531,631.594649,2384,388837,-18.054848,-34.835098,0.000001,69.072319,0,0,0,0.436332,0,10.993201,381.006672,134.525374,59.015936,-0.180548,-0.348351,0,0.690723,0,0
0.29,-1187931.423,-6195239.3,939813.9151,-486.585615,-94.246531,631.594649,2384,388837,-18.039424,-34.801936,0.000001,69.069214,0,0,0,0.436332,0,10.992707,381.006459,66.090981,131.19304,-0.180394,-0.348019,0,0.690692,0,0
0.3,-1187934.887,-6195257.293,939876.9028,-486.223849,-92.35656,628.164182,2384,388837,-18.024023,-34.768821,0.000001,69.066,0,0,0,0.436332,0,10.992195,381.006246,-32.635716,143.227847,-0.18024,-0.347688,0,0.69066,0,0
0.31,-1187934.887,-6195257.293,939876.9028,-486.223849,-92.35656,628.164182,2384,388837,-18.008644,-34.735752,0.000001,69.062677,0,0,0,0.436332,0,10.991666,381.006034,-116.398296,89.612598,-0.180086,-0.347358,0,0.690627,0,0
0.32,-1187934.887,-6195257.293,939876.9028,-486.223849,-92.35656,628.164182,2384,388837,-17.993288,-34.70273,0.000001,69.059245,0,0,0,0.436332,0,10.99112,381.005822,-146.809219,-5.070442,-0.179933,-0.347027,0,0.690592,0,0
0.33,-1187934.887,-6195257.293,939876.9028,-486.223849,-92.35656,628.164182,2384,388837,-17.977953,-34.669755,0.000001,69.055705,0,0,0,0.436332,0,10.990557,381.00561,-109.939986,-97.424487,-0.17978,-0.346698,0,0.690557,0,0
0.34,-1187934.887,-6195257.293,939876.9028,-486.223849,-92.35656,628.164182,2384,388837,-17.962642,-34.636825,0.000001,69.052056,0,0,0,0.436332,0,10.989976,381.005399,-22.695476,-145.130707,-0.179626,-0.346368,0,0.690521,0,0
0.35,-1187934.887,-6195257.293,939876.9028,-486.223849,-92.35656,628.164182,2384,388837,-17.947352,-34.603943,0.000001,69.048298,0,0,0,0.436332,0,10.989378,381.005187,74.942491,-126.33806,-0.179474,-0.346039,0,0.690483,0,0
0.36,-1187934.887,-6195257.293,939876.9028,-486.223849,-92.35656,628.164182,2384,388837,-17.932085,-34.571106,0.000001,69.044432,0,0,0,0.436332,0,10.988763,381.004977,138.240929,-49.666928,-0.179321,-0.345711,0,0.690444,0,0
0.37,-1187934.887,-6195257.293,939876.9028,-486.223849,-92.35656,628.164182,2384,388837,-17.91684,-34.538315,0.000001,69.040456,0,0,0,0.436332,0,10.98813,381.004766,138.20949,49.751091,-0.179168,-0.345383,0,0.690405,0,0
0.38,-1187934.887,-6195257.293,939876.9028,-486.223849,-92.35656,628.164182,2384,388837,-17.901617,-34.505571,0.000001,69.036372,0,0,0,0.436332,0,10.98748,381.004556,74.873434,126.375152,-0.179016,-0.345056,0,0.690364,0,0
0.39,-1187934.887,-6195257.293,939876.9028,-486.223849,-92.35656,628.164182,2384,388837,-17.886417,-34.472873,0.000001,69.032179,0,0,0,0.436332,0,10.986813,381.004346,-22.749238,145.116708,-0.178864,-0.344729,0,0.690322,0,0
0.4,-1187938.315,-6195275.097,939939.5491,-485.864818,-90.48089,624.767322,2384,388837,-17.871238,-34.44022,0.000001,69.027878,0,0,0,0.436332,0,10.986128,381.004136,-109.947951,97.403857,-0.178712,-0.344402,0,0.690279,0,0
0.41,-1187938.315,-6195275.097,939939.5491,-485.864818,-90.48089,624.767322,2384,388837,-17.856082,-34.407614,0.000001,69.023468,0,0,0,0.436332,0,10.985426,381.003927,-146.798421,5.095437,-0.178561,-0.344076,0,0.690235,0,0
0.42,-1187938.315,-6195275.097,939939.5491,-485.864818,-90.48089,624.767322,2384,388837,-17.840948,-34.375053,0.000001,69.018949,0,0,0,0.436332,0,10.984707,381.003717,-116.439264,-89.539459,-0.178409,-0.343751,0,0.690189,0,0
0.43,-1187938.315,-6195275.097,939939.5491,-485.864818,-90.48089,624.767322,2384,388837,-17.825836,-34.342538,0.000001,69.014322,0,0,0,0.436332,0,10.98397,381.003509,-32.780768,-143.18001,-0.178258,-0.343425,0,0.690143,0,0
0.44,-1187938.315,-6195275.097,939939.5491,-485.864818,-90.48089,624.767322,2384,388837,-17.810745,-34.310069,0.000001,69.009586,0,0,0,0.436332,0,10.983217,381.0033,65.875655,-131.282784,-0.178107,-0.343101,0,0.690096,0,0
0.45,-1187938.315,-6195275.097,939939.5491,-485.864818,-90.48089,624.767322,2384,388837,-17.795677,-34.277646,0.000001,69.004741,0,0,0,0.436332,0,10.982446,381.003092,134.377382,-59.305716,-0.177957,-0.342776,0,0.690047,0,0
0.46,-1187938.315,-6195275.097,939939.5491,-485.864818,-90.48089,624.767322,2384,388837,-17.780631,-34.245267,0.000001,68.999788,0,0,0,0.436332,0,10.981657,381.002884,141.385377,39.803289,-0.177806,-0.342453,0,0.689998,0,0
0.47,-1187938.315,-6195275.097,939939.5491,-485.864818,-90.48089,624.767322,2384,388837,-17.765607,-34.212935,0.000001,68.994726,0,0,0,0.436332,0,10.980852,381.002676,83.706284,120.694086,-0.177656,-0.342129,0,0.689947,0,0
0.48,-1187938.315,-6195275.097,939939.5491,-485.864818,-90.48089,624.767322,2384,388837,-17.750604,-34.180647,0.000001,68.989556,0,0,0,0.436332,0,10.980029,381.002469,-12.260304,146.366552,-0.177506,-0.341806,0,0.689896,0,0
0.49,-1187938.315,-6195275.097,939939.5491,-485.864818,-90.48089,624.767322,2384,388837,-17.735624,-34.148405,0.000001,68.984277,0,0,0,0.436332,0,10.979189,381.002262,-102.611707,105.090429,-0.177356,-0.341484,0,0.689843,0,0
0.5,-1187941.707,-6195292.715,940001.8573,-485.508484,-88.619319,621.4036,2384,388837,-17.720665,-34.116208,0.000001,68.97889,0,0,0,0.436332,0,10.978331,381.002055,-146.02927,15.757273,-0.177207,-0.341162,0,0.689789,0,0
0.51,-1187941.707,-6195292.715,940001.8573,-485.508484,-88.619319,621.4036,2384,388837,-17.705728,-34.084057,0.000001,68.973394,0,0,0,0.436332,0,10.977457,381.001848,-122.670735,-80.773812,-0.177057,-0.340841,0,0.689734,0,0
0.52,-1187941.707,-6195292.715,940001.8573,-485.508484,-88.619319,621.4036,2384,388837,-17.690813,-34.05195,0.000001,68.96779,0,0,0,0.436332,0,10.976565,381.001642,-43.230827,-140.368416,-0.176908,-0.340519,0,0.689678,0,0
0.53,-1187941.707,-6195292.715,940001.8573,-485.508484,-88.619319,621.4036,2384,388837,-17.67592,-34.019888,0.000001,68.962077,0,0,0,0.436332,0,10.975655,381.001436,55.963939,-135.793642,-0.176759,-0.340199,0,0.689621,0,0
0.54,-1187941.707,-6195292.715,940001.8573,-485.508484,-88.619319,621.4036,2384,388837,-17.661048,-33.987871,0.000001,68.956256,0,0,0,0.436332,0,10.974729,381.001231,129.572477,-69.155825,-0.17661,-0.339879,0,0.689563,0,0
0.55,-1187941.707,-6195292.715,940001.8573,-485.508484,-88.619319,621.4036,2384,388837,-17.646198,-33.955899,0.000001,68.950326,0,0,0,0.436332,0,10.973785,381.001025,143.964178,29.078334,-0.176462,-0.339559,0,0.689503,0,0
0.56,-1187941.707,-6195292.715,940001.8573,-485.508484,-88.619319,621.4036,2384,388837,-17.63137,-33.923972,0.000001,68.944288,0,0,0,0.436332,0,10.972824,381.00082,92.578336,114.018268,-0.176314,-0.33924,0,0.689443,0,0
0.57,-1187941.707,-6195292.715,940001.8573,-485.508484,-88.619319,621.4036,2384,388837,-17.616563,-33.89209,0.000001,68.938142,0,0,0,0.436332,0,10.971846,381.000615,-1.094344,146.86523,-0.176166,-0.338921,0,0.689381,0,0
0.58,-1187941.707,-6195292.715,940001.8573,-485.508484,-88.619319,621.4036,2384,388837,-17.601778,-33.860252,0.000001,68.931888,0,0,0,0.436332,0,10.970851,381.000411,-94.258819,112.63014,-0.176018,-0.338603,0,0.689319,0,0
0.59,-1187941.707,-6195292.715,940001.8573,-485.508484,-88.619319,621.4036,2384,388837,-17.587014,-33.828459,0.000001,68.925525,0,0,0,0.436332,0,10.969838,381.000207,-144.370603,26.964465,-0.17587,-0.338285,0,0.689255,0,0
0.6,-1187945.063,-6195310.147,940063.8309,-485.154808,-86.771648,618.072554,2384,388837,-17.572272,-33.79671,0.000001,68.919054,0,0,0,0.436332,0,10.968808,381.000003,-128.561112,-71.004749,-0.175723,-0.337967,0,0.689191,0,0
0.61,-1187945.063,-6195310.147,940063.8309,-485.154808,-86.771648,618.072554,2384,388837,-17.557551,-33.765005,0.000001,68.912474,0,0,0,0.436332,0,10.967761,380.999799,-54.065254,-136.551319,-0.175576,-0.33765,0,0.689125,0,0
0.62,-1187945.063,-6195310.147,940063.8309,-485.154808,-86.771648,618.072554,2384,388837,-17.542852,-33.733345,0.000001,68.905787,0,0,0,0.436332,0,10.966697,380.999596,45.099709,-139.767704,-0.175429,-0.337333,0,0.689058,0,0
0.63,-1187945.063,-6195310.147,940063.8309,-485.154808,-86.771648,618.072554,2384,388837,-17.528174,-33.701729,0.000001,68.898991,0,0,0,0.436332,0,10.965615,380.999393,123.674819,-79.203629,-0.175282,-0.337017,0,0.68899,0,0
0.64,-1187945.063,-6195310.147,940063.8309,-485.154808,-86.771648,618.072554,2384,388837,-17.513517,-33.670158,0.000001,68.892087,0,0,0,0.436332,0,10.964516,380.99919,145.816433,17.490707,-0.175135,-0.336702,0,0.688921,0,0
0.65,-1187945.063,-6195310.147,940063.8309,-485.154808,-86.771648,618.072554,2384,388837,-17.498882,-33.63863,0.000001,68.885075,0,0,0,0.436332,0,10.9634,380.998987,101.440784,106.197013,-0.174989,-0.336386,0,0.688851,0,0
