time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,tgo,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,mag_in_x,mag_in_y,mag_in_z,gyro_p,gyro_q,gyro_r,roll_rate_rps,mag_ok,gyro_ok,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,proximity_flag,main_cycles,t1_cycles,t2_cycles,t3_cycles
0.10,1439694.208000,6144021.693000,939120.017900,290.405097,-64.054586,-33.875256,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.010250,125.809457,75.876822,69.109588,0.000000,0.000000,10.999133,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0
0.11,1439697.111000,6144021.052000,939119.679200,290.349792,-64.062454,-33.872263,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.010001,48.579296,138.654178,69.108444,0.000000,0.000000,10.998950,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0
0.12,1439700.014000,6144020.412000,939119.340500,290.294547,-64.070405,-33.869288,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.009753,-50.940947,137.802637,69.107190,0.000000,0.000000,10.998751,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0
0.13,1439702.917000,6144019.771000,939119.001800,290.239363,-64.078439,-33.866333,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.009505,-127.082459,73.717118,69.105828,0.000000,0.000000,10.998534,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0
0.14,1439705.818000,6144019.130000,939118.663200,290.184240,-64.086557,-33.863396,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.009257,-144.908728,-24.191808,69.104356,0.000000,0.000000,10.998300,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0
0.15,1439708.720000,6144018.489000,939118.324600,290.129179,-64.094757,-33.860479,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.009010,-96.244681,-110.997131,69.102776,0.000000,0.000000,10.998048,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0
0.16,1439711.620000,6144017.848000,939117.986000,290.074179,-64.103040,-33.857581,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.008763,-3.423572,-146.871711,69.101087,0.000000,0.000000,10.997780,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0
0.17,1439714.521000,6144017.207000,939117.647400,290.019242,-64.111405,-33.854702,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.008516,90.964729,-115.360555,69.099288,0.000000,0.000000,10.997493,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0
0.18,1439717.420000,6144016.566000,939117.308900,289.964366,-64.119853,-33.851842,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.008270,143.616972,-30.926106,69.097381,0.000000,0.000000,10.997190,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0
0.19,1439720.319000,6144015.924000,939116.970400,289.909553,-64.128384,-33.849002,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.008024,130.382637,67.692289,69.095365,0.000000,0.000000,10.996869,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0
0.20,1439723.218000,6144015.283000,939116.632000,289.854803,-64.136997,-33.846180,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.007778,57.338987,135.254347,69.093240,0.000000,0.000000,10.996531,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0
0.21,1439726.116000,6144014.642000,939116.293500,289.800115,-64.145693,-33.843378,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.007533,-42.002838,140.772439,69.091006,0.000000,0.000000,10.996175,0,0,1,0,0,0,0,0,0,0,0,22,0,0,0
0.22,1439729.013000,6144014.000000,939115.955100,289.745491,-64.154470,-33.840594,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.007288,-122.074748,81.722053,69.088663,0.000000,0.000000,10.995802,0,0,1,0,0,0,0,0,0,0,0,23,0,0,0
0.23,1439731.910000,6144013.358000,939115.616700,289.690930,-64.163330,-33.837830,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.007043,-146.154435,-14.806745,69.086211,0.000000,0.000000,10.995412,0,0,1,0,0,0,0,0,0,0,0,24,0,0,0
0.24,1439734.807000,6144012.717000,939115.278400,289.636434,-64.172272,-33.835085,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.006799,-103.205004,-104.540454,69.083650,0.000000,0.000000,10.995004,0,0,1,0,0,0,0,0,0,0,0,25,0,0,0
0.25,1439737.702000,6144012.075000,939114.940100,289.582001,-64.181297,-33.832360,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.006554,-12.930071,-146.329811,69.080981,0.000000,0.000000,10.994580,0,0,1,0,0,0,0,0,0,0,0,26,0,0,0
0.26,1439740.598000,6144011.433000,939114.601800,289.527632,-64.190403,-33.829653,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.006311,83.269378,-121.018313,69.078202,0.000000,0.000000,10.994137,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0
0.27,1439743.492000,6144010.791000,939114.263500,289.473329,-64.199590,-33.826966,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.006067,141.284083,-40.220031,69.075315,0.000000,0.000000,10.993678,0,0,1,0,0,0,0,0,0,0,0,28,0,0,0
0.28,1439746.387000,6144010.149000,939113.925300,289.419090,-64.208860,-33.824297,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.005824,134.520753,59.013825,69.072319,0.000000,0.000000,10.993201,0,0,1,0,0,0,0,0,0,0,0,29,0,0,0
0.29,1439749.280000,6144009.507000,939113.587000,289.364916,-64.218211,-33.821648,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.005581,66.088687,131.188308,69.069214,0.000000,0.000000,10.992707,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0
0.30,1439752.173000,6144008.864000,939113.248900,289.310807,-64.227644,-33.819019,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.005339,-32.634428,143.222564,69.066000,0.000000,0.000000,10.992195,0,0,1,0,0,0,0,0,0,0,0,31,0,0,0
0.31,1439755.066000,6144008.222000,939112.910700,289.256764,-64.237158,-33.816408,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.005097,-116.393794,89.609239,69.062677,0.000000,0.000000,10.991666,0,0,1,0,0,0,0,0,0,0,0,32,0,0,0
0.32,1439757.958000,6144007.580000,939112.572600,289.202787,-64.246754,-33.813816,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.004855,-146.803431,-5.070154,69.059245,0.000000,0.000000,10.991120,0,0,1,0,0,0,0,0,0,0,0,33,0,0,0
0.33,1439760.849000,6144006.937000,939112.234400,289.148876,-64.256431,-33.811244,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.004613,-109.935577,-97.420458,69.055705,0.000000,0.000000,10.990557,0,0,1,0,0,0,0,0,0,0,0,34,0,0,0
