missiontime,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Gyro_p, Gyro_q, Gyro_r,bmx,bmy,bmz,deltaVx,deltaVy,deltaVz,deltaThetaX,deltaThetaY,deltaThetaZ
1.73,1440160.688,6143915.661,939065.0626,282.3702362,-66.36264982,-33.64107967,-69.49533687,-119.4426482,0,67.499436,0,0,380.973838,99.643347,-107.690421,-0.69495409,-1.194425891,0,0.674994,0,0
1.74,1440163.511,6143914.997,939064.7262,282.3280909,-66.38264121,-33.64120999,-69.43261049,-119.3254435,0,67.480887,0,0,380.973639,145.086416,-21.808465,-0.69432745,-1.193254631,0,0.674809,0,0
1.75,1440166.334,6143914.333,939064.3898,282.286045,-66.40269605,-33.64135905,-69.36997597,-119.2084093,0,67.462236,0,0,380.97344,126.911089,73.613226,-0.69370081,-1.192083371,0,0.674622,0,0
1.76,1440169.156,6143913.669,939064.0533,282.2440987,-66.42281416,-33.64152686,-69.30743004,-119.0915425,0,67.443482,0,0,380.973242,53.130905,136.755596,-0.693074169,-1.190915392,0,0.674435,0,0
1.77,1440171.978,6143913.004,939063.7169,282.2022522,-66.4429954,-33.64171338,-69.24497597,-118.9748398,0,67.424625,0,0,380.973044,-43.89905,139.991122,-0.69245081,-1.189747413,0,0.674246,0,0
1.78,1440174.8,6143912.34,939063.3805,282.1605056,-66.4632396,-33.64191861,-69.18261048,-118.8583043,0,67.405665,0,0,380.972846,-121.689645,81.950754,-0.69182745,-1.188582715,0,0.674057,0,0
1.79,1440177.621,6143911.675,939063.0441,282.1188592,-66.4835466,-33.64214254,-69.12033686,-118.7419395,0,67.386604,0,0,380.972649,-146.224904,-11.925955,-0.69120409,-1.187418017,0,0.673866,0,0
1.8,1440180.442,6143911.01,939062.7077,282.0773132,-66.50391623,-33.64238516,-69.0581551,-118.6257354,0,67.36744,0,0,380.972452,-106.819568,-100.564339,-0.690580731,-1.1862566,0,0.673674,0,0
1.81,1440183.262,6143910.345,939062.3712,282.0358677,-66.52434834,-33.64264645,-68.99606192,-118.509702,0,67.348173,0,0,380.972255,-20.744792,-145.234002,-0.689960652,-1.185098463,0,0.673482,0,0
1.82,1440186.082,6143909.679,939062.0348,281.9945229,-66.54484279,-33.6429264,-68.93405732,-118.3938325,0,67.328805,0,0,380.972058,74.368204,-126.460618,-0.689340573,-1.183937046,0,0.673288,0,0
1.83,1440188.902,6143909.013,939061.6984,281.9532792,-66.5653994,-33.64322501,-68.87214459,-118.2781271,0,67.309334,0,0,380.971862,136.99391,-52.4904,-0.688720494,-1.18278219,0,0.673093,0,0
1.84,1440191.721,6143908.348,939061.3619,281.9121367,-66.58601802,-33.64354227,-68.81032372,-118.1625891,0,67.289761,0,0,380.971666,139.836933,44.360588,-0.688103697,-1.181627334,0,0.672898,0,0
1.85,1440194.54,6143907.682,939061.0255,281.8710956,-66.60669849,-33.64387815,-68.74859144,-118.0472151,0,67.270087,0,0,380.97147,81.706565,121.843848,-0.687486899,-1.180472479,0,0.672701,0,0
1.86,1440197.358,6143907.015,939060.6891,281.830156,-66.62744064,-33.64423265,-68.68694774,-117.9320051,0,67.25031,0,0,380.971275,-12.014767,146.209397,-0.686870101,-1.179320904,0,0.672503,0,0
1.87,1440200.176,6143906.349,939060.3526,281.7893183,-66.6482443,-33.64460575,-68.62539262,-117.8169592,0,67.230432,0,0,380.97108,-100.478474,106.88908,-0.686253303,-1.178169329,0,0.672304,0,0
1.88,1440202.993,6143905.682,939060.0162,281.7485824,-66.66910931,-33.64499744,-68.56392608,-117.7020773,0,67.210452,0,0,380.970885,-145.181561,21.051616,-0.685639786,-1.177021035,0,0.672105,0,0
1.89,1440205.81,6143905.015,939059.6797,281.7079487,-66.69003551,-33.64540771,-68.5025514,-117.5873627,0,67.19037,0,0,380.97069,-126.712924,-73.921229,-0.685026269,-1.175872741,0,0.671904,0,0
1.9,1440208.627,6143904.348,939059.3432,281.6674173,-66.71102273,-33.64583653,-68.44126531,-117.4728089,0,67.170186,0,0,380.970496,-53.15569,-136.728356,-0.684412752,-1.174727728,0,0.671702,0,0
1.91,1440211.443,6143903.681,939059.0068,281.6269884,-66.73207081,-33.64628391,-68.3800678,-117.3584191,0,67.149902,0,0,380.970302,43.479948,-140.104684,-0.683799234,-1.173582715,0,0.671499,0,0
1.92,1440214.259,6143903.013,939058.6703,281.5866624,-66.7531796,-33.64674983,-68.31895888,-117.2441901,0,67.129515,0,0,380.970108,121.206601,-82.634411,-0.683188998,-1.172440982,0,0.671295,0,0
1.93,1440217.075,6143902.345,939058.3338,281.5464393,-66.77434894,-33.64723428,-68.25793854,-117.1301251,0,67.109028,0,0,380.969915,146.304292,10.686349,-0.682578762,-1.171302531,0,0.67109,0,0
1.94,1440219.89,6143901.678,939057.9974,281.5063194,-66.79557866,-33.64773726,-68.19700678,-117.0162242,0,67.088439,0,0,380.969721,107.931308,99.346036,-0.681968526,-1.170160799,0,0.670884,0,0
