missiontime,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Gyro_p, Gyro_q, Gyro_r,bmx,bmy,bmz,deltaVx,deltaVy,deltaVz,deltaThetaX,deltaThetaY,deltaThetaZ
0.25,1438969.812,6151312.967,941041.7297,110.6612276,-1.571137246,736.911282,-81.42233856,-140.6276357,0,69.080981,0,0,381.006554,-12.930071,-146.329811,-0.814222467,-1.406276292,0,0.69081,0,0
0.26,1438970.918,6151312.687,941041.7138,110.6370408,-1.591977572,736.911282,-81.31786021,-140.4502407,0,69.078202,0,0,381.006311,83.269378,-121.018313,-0.81317916,-1.404501357,0,0.690782,0,0
0.27,1438972.025,6151312.407,941041.6976,110.6128646,-1.612819639,736.911282,-81.2136148,-140.2732263,0,69.075315,0,0,381.006067,141.284083,-40.220031,-0.812135853,-1.402732985,0,0.690753,0,0
0.28,1438973.131,6151312.126,941041.6813,110.5886992,-1.633663452,736.911282,-81.10960233,-140.0965924,0,69.072319,0,0,381.005824,134.520753,59.013825,-0.811095826,-1.400964612,0,0.690723,0,0
0.29,1438974.236,6151311.844,941041.6648,110.5645449,-1.654509017,736.911282,-81.00581952,-139.9203358,0,69.069214,0,0,381.005581,66.088687,131.188308,-0.810059081,-1.399202801,0,0.690692,0,0
0.3,1438975.342,6151311.561,941041.648,110.5404017,-1.67535634,732.485085,-80.90226309,-139.7444599,0,69.066,0,0,381.005339,-32.634428,143.222564,-0.809022336,-1.39744427,0,0.69066,0,0
0.31,1438976.447,6151311.277,941041.631,110.5162698,-1.696205425,732.485085,-80.79893959,-139.5689546,0,69.062677,0,0,381.005097,-116.393794,89.609239,-0.807988871,-1.395689021,0,0.690627,0,0
0.32,1438977.552,6151310.992,941041.6139,110.4921493,-1.717056278,732.485085,-80.69584248,-139.3938299,0,69.059245,0,0,381.004855,-146.803431,-5.070154,-0.806958687,-1.393937052,0,0.690592,0,0
0.33,1438978.656,6151310.706,941041.5965,110.4680403,-1.737908905,732.485085,-80.59297174,-139.219076,0,69.055705,0,0,381.004613,-109.935577,-97.420458,-0.805928503,-1.392191646,0,0.690557,0,0
0.34,1438979.761,6151310.42,941041.5789,110.4439431,-1.758763312,732.485085,-80.49033066,-139.0446961,0,69.052056,0,0,381.004372,-22.694618,-145.124616,-0.804904881,-1.390446239,0,0.690521,0,0
0.35,1438980.865,6151310.132,941041.5611,110.4198577,-1.779619503,732.485085,-80.38791596,-138.8706869,0,69.048298,0,0,381.004131,74.93918,-126.332666,-0.803877978,-1.388707394,0,0.690483,0,0
0.36,1438981.969,6151309.844,941041.5431,110.3957844,-1.800477484,732.485085,-80.28572435,-138.6970484,0,69.044432,0,0,381.003891,138.234773,-49.664821,-0.802857637,-1.386971829,0,0.690444,0,0
0.37,1438983.073,6151309.555,941041.5249,110.3717232,-1.821337261,732.485085,-80.18375913,-138.5237807,0,69.040456,0,0,381.00365,138.203236,49.748732,-0.801837296,-1.385236265,0,0.690405,0,0
0.38,1438984.176,6151309.265,941041.5065,110.3476742,-1.842198838,732.485085,-80.082017,-138.3508804,0,69.036372,0,0,381.003411,74.870027,126.369197,-0.800820236,-1.383507262,0,0.690364,0,0
0.39,1438985.279,6151308.974,941041.4878,110.3236377,-1.863062221,732.485085,-79.98050125,-138.1783509,0,69.032179,0,0,381.003171,-22.748042,145.109771,-0.799806456,-1.381784821,0,0.690322,0,0
0.4,1438986.382,6151308.682,941041.469,110.2996138,-1.883927416,728.117123,-79.87920859,-138.0061855,0,69.027878,0,0,381.002932,-109.942478,97.399154,-0.798792676,-1.38006238,0,0.690279,0,0
0.41,1438987.485,6151308.39,941041.45,110.2756026,-1.904794428,728.117123,-79.77813576,-137.8343843,0,69.023468,0,0,381.002693,-146.79103,5.095292,-0.797782178,-1.37834322,0,0.690235,0,0
0.42,1438988.588,6151308.096,941041.4307,110.2516042,-1.925663261,728.117123,-79.67728601,-137.6629506,0,69.018949,0,0,381.002454,-116.433334,-89.534755,-0.796771679,-1.376630621,0,0.690189,0,0
